id	name	acronym	type	topic_tags	start_date	end_date	location	abstract_deadline	paper_deadline	registration_deadline	early_bird_deadline	website	relevance_score	relevance_note	status	last_verified	last_change	source_urls
benasque-qnp-2025	Quantum Nanophotonics 2025	Benasque QNP	Workshop	nanophotonics;quantum optics;single-photon sources	2025-03-16	2025-03-22	Benasque, Spain	2025-01-17	n/a	TBA	n/a	https://benasque.org/2025quantumnanophotonics/	5	Directly on nanophotonics and single-photon sources	archived	2026-09-13	year roll-over from 2025 edition	https://benasque.org/2025quantumnanophotonics/
photonics-north-2025	Photonics North 2025	PN 2025	Conference	silicon photonics;integrated quantum photonics;quantum communication	2025-05-20	2025-05-23	Ottawa, Canada	TBA	TBA	TBA	TBA	TBA	3	Canadian photonics flagship with PIC and quantum sessions	archived	2026-09-13	year roll-over from 2025 edition	original list
benasque-sqt-2025	Spring School on Superconducting Qubit Technology 2025	Benasque SQT	Summer School	quantum computing hardware;cryogenic electronics	2025-05-21	2025-05-30	Benasque, Spain	TBA	n/a	TBA	n/a	https://benasque.org/2025sqt/	3	Cryogenic electronics for qubit control, adjacent to photonic detector systems	archived	2026-09-13	year roll-over from 2025 edition	https://benasque.org/2025sqt/
optica-quantum-2025	Optica Quantum 2.0 Conference and Exhibition 2025	Optica Quantum 2025	Conference	integrated quantum photonics;quantum optics;single-photon sources;quantum communication	2025-06-01	2025-06-05	San Francisco, CA, USA	TBA	TBA	TBA	TBA	https://optica.org/events/topical_meetings/quantum/	5	Premier global quantum photonics conference covering PICs, single photons, QKD	archived	2026-09-13	year roll-over from 2025 edition	https://optica.org/events/topical_meetings/quantum/
icols-2025	26th International Conference on Laser Spectroscopy	ICOLS 2025	Conference	quantum optics;nonlinear optics	2025-06-02	2025-06-07	Elba Island, Italy	2025-01-17	TBA	TBA	TBA	https://icols2025.it/	3	Laser spectroscopy with quantum optics relevance	archived	2026-09-13	year roll-over from 2025 edition	https://icols2025.it/
ecio-2025	European Conference on Integrated Optics 2025	ECIO 2025	Conference	integrated quantum photonics;photonic integrated circuits;silicon photonics	2025-06-10	2025-06-12	Cardiff, Wales, UK	TBA	TBA	TBA	TBA	https://ecio-conference.org/	5	Largest European dedicated integrated optics conference	archived	2026-09-13	year roll-over from 2025 edition	https://ecio-conference.org/
benasque-qi-2025	Quantum Information 2025	Benasque QI	Workshop	quantum communication;quantum optics	2025-06-15	2025-07-04	Benasque, Spain	TBA	n/a	TBA	n/a	https://benasque.org/	3	Quantum information including QKD and networking	archived	2026-09-13	year roll-over from 2025 edition	https://benasque.org/
damop-2025	56th APS Division of Atomic, Molecular and Optical Physics Meeting	DAMOP 2025	Conference	quantum optics;nonlinear optics	2025-06-16	2025-06-20	Portland, OR, USA	2025-01-31	2025-01-31	TBA	TBA	https://aps.org/events/2025/atomic-molecular-optical-physics	3	AMO physics flagship with quantum optics sessions	archived	2026-09-13	year roll-over from 2025 edition	https://aps.org/events/2025/atomic-molecular-optical-physics
cewqo-2025	29th Central European Workshop on Quantum Optics	CEWQO 2025	Workshop	quantum optics;single-photon sources;quantum communication	2025-06-23	2025-06-27	Vilnius, Lithuania	TBA	n/a	TBA	n/a	https://ucan.physics.utoronto.ca/conferences/cewqo29/	4	Dedicated European workshop on quantum optics and single-photon physics	archived	2026-09-13	year roll-over from 2025 edition	https://ucan.physics.utoronto.ca/conferences/cewqo29/
cleo-europe-2025	CLEO/Europe-EQEC 2025	CLEO/Europe 2025	Conference	integrated quantum photonics;quantum optics;nonlinear optics;nanophotonics	2025-06-23	2025-06-27	Munich, Germany	2025-01-27	2025-01-27	TBA	TBA	https://cleoeurope.org/	5	Flagship European photonics and quantum optics conference (biennial)	archived	2026-09-13	year roll-over from 2025 edition	https://cleoeurope.org/
icton-2025	25th International Conference on Transparent Optical Networks	ICTON 2025	Conference	photonic integrated circuits;silicon photonics;quantum communication	2025-07-06	2025-07-10	Barcelona, Spain	TBA	TBA	TBA	TBA	https://icton2025.upc.edu/	3	Transparent optical networks with PIC and quantum photonics tracks	archived	2026-09-13	year roll-over from 2025 edition	https://icton2025.upc.edu/
ieee-sum-2025	IEEE Summer Topicals Meeting Series 2025	IEEE SUM 2025	Conference	integrated quantum photonics;silicon photonics	2025-07-21	2025-07-23	Berlin, Germany	TBA	TBA	TBA	TBA	https://ieee-sum.org/	3	IEEE topical photonics sessions including PICs	archived	2026-09-13	year roll-over from 2025 edition	https://ieee-sum.org/
qcrypt-2025	QCrypt 2025	QCrypt 2025	Conference	quantum communication;QKD;quantum networking	2025-08-25	2025-08-29	Sanya, China	TBA	TBA	TBA	TBA	https://qcrypt.net/	4	Premier annual quantum cryptography and QKD conference	archived	2026-09-13	year roll-over from 2025 edition	https://qcrypt.net/
ecoc-2025	51st European Conference on Optical Communication	ECOC 2025	Conference	photonic integrated circuits;silicon photonics;quantum communication	2025-09-28	2025-10-02	Copenhagen, Denmark	TBA	TBA	TBA	TBA	https://ecoc2025.org/	4	Europe's biggest optical comms conference with PIC and quantum tracks	archived	2026-09-13	year roll-over from 2025 edition	https://ecoc2025.org/
nrw-nano-2025	NRW NanoConference 2026	NRW Nano 2026	Conference	nanophotonics;photonic integrated circuits	2025-09-30	2025-10-01	Dortmund, Germany	TBA	TBA	TBA	TBA	https://www.nanoconference.de/	3	Regional NRW nanotechnology conference; local access	archived	2026-09-13	id/date corrected: no 2026 edition exists; the actual 11th NRW NanoConference was Sep 30-Oct 1 2025 (Westfalenhalle Dortmund), already concluded — archiving under corrected id	https://www.nanoconference.de/
moc-2025	30th Microoptics Conference	MOC 2025	Conference	photonic integrated circuits;nanophotonics	2025-10-12	2025-10-15	Tochigi, Japan	2025-05-16	TBA	TBA	TBA	TBA	3	Micro- and nano-optics with PIC sessions	archived	2026-09-13	year roll-over from 2025 edition	original list
fio-2025	Frontiers in Optics + Laser Science 2025	FiO+LS 2025	Conference	quantum optics;nonlinear optics;nanophotonics	2025-10-27	2025-10-30	Denver, CO, USA	TBA	TBA	TBA	TBA	https://frontiersinoptics.com/	3	Broad US optics conference with quantum photonics components	archived	2026-09-13	year roll-over from 2025 edition	https://frontiersinoptics.com/
piers-fall-2025	Photonics & Electromagnetics Research Symposium — Fall 2025	PIERS Fall 2025	Symposium	photonic integrated circuits;nanophotonics	2025-11-04	2025-11-08	Chiba, Japan	TBA	TBA	TBA	TBA	TBA	2	General EM/photonics symposium; peripherally relevant	archived	2026-09-13	year roll-over from 2025 edition	original list
acp-2025	Asia Communications and Photonics Conference 2025	ACP 2025	Conference	photonic integrated circuits;quantum communication	2025-11-05	2025-11-08	Jiangsu, China	2025-08-01	TBA	TBA	TBA	TBA	3	Asia-Pacific photonics flagship with quantum sessions	archived	2026-09-13	year roll-over from 2025 edition	original list
ipc-2025	IEEE Photonics Conference 2025	IPC 2025	Conference	integrated quantum photonics;photonic integrated circuits;silicon photonics	2025-11-09	2025-11-13	Singapore	TBA	TBA	TBA	TBA	https://ieee-ipc.org/	4	IEEE flagship photonics devices and integrated systems conference	archived	2026-09-13	year roll-over from 2025 edition	https://ieee-ipc.org/
optima-2025	Optical Communication, Photonics, Telecommunications, and Intelligent Machine Applications	OPTIMA 2025	Conference	photonic integrated circuits	2025-12-04	2025-12-05	Tashkent, Uzbekistan	TBA	TBA	TBA	TBA	TBA	2	Regional optics/photonics conference; limited quantum scope	archived	2026-09-13	year roll-over from 2025 edition	original list
pgc-2025	Photonics Global Conference 2025	PGC 2025	Conference	photonic integrated circuits;nanophotonics	2025-12-05	2025-12-08	Sanya, China	TBA	TBA	TBA	TBA	TBA	2	Asia-Pacific photonics conference; some PIC tracks	archived	2026-09-13	year roll-over from 2025 edition	original list
icisct-2025	International Conference on Information Science and Communications Technologies	ICISCT 2025	Conference	quantum communication	2025-12-26	2025-12-27	Kathmandu, Nepal	TBA	TBA	TBA	TBA	TBA	2	Broad ICT conference; limited photonics scope	archived	2026-09-13	year roll-over from 2025 edition	original list
photonics-west-2026	SPIE Photonics West 2026	PW 2026	Conference	integrated quantum photonics;silicon photonics;nonlinear optics;single-photon sources	2026-01-17	2026-01-22	San Francisco, CA, USA	2025-07-09	TBA	TBA	TBA	https://spie.org/photonics-west	5	SPIE flagship with Quantum West and Si-photonics tracks	archived	2026-09-13	year roll-over; Photonics West 2027 now announced (Jan 30–Feb 4)	https://spie.org/photonics-west
qip-2026	29th Quantum Information Processing Conference	QIP 2026	Conference	quantum communication;quantum computing hardware;quantum networking	2026-01-26	2026-01-30	Riga, Latvia	2025-09-12	2025-10-10	TBA	TBA	https://qip2026.lu.lv/	4	Premier quantum information conference; networking and photonic hardware sessions	archived	2026-09-13	year roll-over; QIP 2027 Singapore announced	https://qip2026.lu.lv/
dpg-samop-2026	DPG Frühjahrstagung SAMOP 2026	DPG SAMOP 2026	Conference	quantum optics;nanophotonics;integrated quantum photonics	2026-03-01	2026-03-06	Mainz, Germany	TBA	TBA	TBA	TBA	https://mainz26.dpg-tagungen.de	4	German physics society AMO/photonics spring meeting — easily accessible from Münster	archived	2026-09-13	year roll-over; DPG SAMOP 2027 Hannover announced	https://mainz26.dpg-tagungen.de
nanolight-2026	Nanolight Conference 2026	Nanolight 2026	Conference	nanophotonics;2D-material photonics;quantum optics;plasmonics	2026-03-02	2026-03-06	Benasque, Spain	2025-12-15	n/a	2026-02-15	n/a	https://benasque.org/2026nanolight/	5	European nanophotonics / near-field / 2D-material flagship	archived	2026-09-13	year roll-over	https://benasque.org/2026nanolight/
dpg-skm-2026	DPG Frühjahrstagung SKM 2026	DPG SKM 2026	Conference	silicon photonics;nanophotonics;2D-material photonics	2026-03-08	2026-03-13	Dresden, Germany	TBA	TBA	TBA	TBA	https://dresden26.dpg-tagungen.de	3	Condensed matter sessions on photonics materials and devices	archived	2026-09-13	year roll-over	https://dresden26.dpg-tagungen.de
ofc-2026	Optical Fiber Communication Conference 2026	OFC 2026	Conference	photonic integrated circuits;silicon photonics;quantum communication	2026-03-15	2026-03-19	Los Angeles, CA, USA	TBA	TBA	TBA	TBA	https://ofcconference.org/	4	World's largest optical comms conference with PIC and quantum networking sessions	archived	2026-09-13	year roll-over; OFC 2027 Los Angeles Mar 7-11 announced	https://ofcconference.org/
aps-march-2026	APS Global Physics Summit 2026	APS 2026	Conference	quantum optics;quantum computing hardware;integrated quantum photonics	2026-03-16	2026-03-20	Denver, CO, USA	2025-10-31	2025-10-31	TBA	TBA	https://summit.aps.org/	4	Largest physics meeting; major quantum photonics and computing sessions	archived	2026-09-13	year roll-over; confirmed as joint March+April Global Physics Summit; APS 2027 Atlanta Apr 11-16	https://summit.aps.org/; https://march.aps.org/
spie-pe-2026	SPIE Photonics Europe 2026	SPIE PE 2026	Conference	integrated quantum photonics;silicon photonics;nanophotonics	2026-04-12	2026-04-16	Strasbourg, France	TBA	TBA	TBA	TBA	https://spie.org/photonics-europe	5	Major European SPIE photonics conference with quantum integrated sessions	archived	2026-09-13	year roll-over	https://spie.org/photonics-europe
ieee-siphotonics-2026	IEEE Silicon Photonics Conference 2026	IEEE SiPho 2026	Conference	silicon photonics;photonic integrated circuits;III-V on Si	2026-04-13	2026-04-15	Ottawa, ON, Canada	2025-10-03	TBA	TBA	TBA	https://ieee-siphotonics.org/	5	Dedicated silicon photonics conference — direct relevance to PICs	archived	2026-09-13	year roll-over	https://ieee-siphotonics.org/
ieee-qpain-2026	IEEE 2nd International Conference on Quantum Photonics, AI & Networking	IEEE QPAIN 2026	Conference	integrated quantum photonics;quantum networking	2026-04-16	2026-04-18	Chattogram, Bangladesh	TBA	TBA	TBA	TBA	https://qpain.org/	3	Quantum photonics and networking conference (IEEE-sponsored)	archived	2026-09-13	year roll-over	https://qpain.org/
inp-webinar-2026	Webinar on InP platform for NIR and MIR applications	InP Webinar	Seminar	photonic integrated circuits;III-V on Si	2026-04-17	2026-04-17	Online	TBA	n/a	TBA	n/a	https://inphomir.eu/1st-webinar/	4	III-V InP PIC platform — directly relevant to quantum light-source integration	archived	2026-09-13	year roll-over	https://inphomir.eu/1st-webinar/
eftf-2026	European Frequency and Time Forum 2026	EFTF 2026	Conference	quantum optics;quantum communication	2026-04-20	2026-04-23	Noordwijk, The Netherlands	TBA	TBA	TBA	TBA	https://www.eftf.org/home	2	Frequency/time standards; quantum photonic metrology peripherally relevant	archived	2026-09-13	year roll-over	https://www.eftf.org/home
spie-ds-2026	SPIE Defense + Security 2026	SPIE D+S 2026	Conference	single-photon sources;quantum communication	2026-04-26	2026-04-30	National Harbor, MD, USA	TBA	TBA	TBA	TBA	https://spie.org/defense-and-commercial-sensing	2	Defense photonics with some single-photon sensing sessions	archived	2026-09-13	year roll-over	https://spie.org/defense-and-commercial-sensing
