id	name	acronym	type	topic_tags	start_date	end_date	location	abstract_deadline	paper_deadline	registration_deadline	early_bird_deadline	website	relevance_score	relevance_note	status	last_verified	last_change	source_urls
opon-2025	8th International Workshop on the Optical Properties of Nanostructures	OPON 2025	Conference	integrated quantum photonics;nanophotonics	2025-02-12	2025-02-14	Münster, Germany	TBA	TBA	TBA	TBA	https://www.uni-muenster.de/Physik.FT/en/opon2025/index.html	4	Local Münster photonics conference — direct access, no travel	archived	2026-08-02	dates now confirmed: Feb 12-14 2025 (8th edition), Münster; small invite-only workshop rotating among Wrocław/Bayreuth/Warsaw/Münster groups (not 'Ostwestfalen-Lippe' as previously guessed); should have been archived last run — corrected now; no 9th edition announced yet	https://www.uni-muenster.de/Physik.FT/en/opon2025/index.html
benasque-qnp-2025	Quantum Nanophotonics 2025	Benasque QNP	Workshop	nanophotonics;quantum optics;single-photon sources	2025-03-16	2025-03-22	Benasque, Spain	2025-01-17	n/a	TBA	n/a	https://benasque.org/2025quantumnanophotonics/	5	Directly on nanophotonics and single-photon sources	archived	2026-05-13	year roll-over from 2025 edition	https://benasque.org/2025quantumnanophotonics/
photonics-north-2025	Photonics North 2025	PN 2025	Conference	silicon photonics;integrated quantum photonics;quantum communication	2025-05-20	2025-05-23	Ottawa, Canada	TBA	TBA	TBA	TBA	TBA	3	Canadian photonics flagship with PIC and quantum sessions	archived	2026-05-13	year roll-over from 2025 edition	original list
benasque-sqt-2025	Spring School on Superconducting Qubit Technology 2025	Benasque SQT	Summer School	quantum computing hardware;cryogenic electronics	2025-05-21	2025-05-30	Benasque, Spain	TBA	n/a	TBA	n/a	https://benasque.org/2025sqt/	3	Cryogenic electronics for qubit control, adjacent to photonic detector systems	archived	2026-05-13	year roll-over from 2025 edition	https://benasque.org/2025sqt/
optica-quantum-2025	Optica Quantum 2.0 Conference and Exhibition 2025	Optica Quantum 2025	Conference	integrated quantum photonics;quantum optics;single-photon sources;quantum communication	2025-06-01	2025-06-05	San Francisco, CA, USA	TBA	TBA	TBA	TBA	https://optica.org/events/topical_meetings/quantum/	5	Premier global quantum photonics conference covering PICs, single photons, QKD	archived	2026-05-13	year roll-over from 2025 edition	https://optica.org/events/topical_meetings/quantum/
icols-2025	26th International Conference on Laser Spectroscopy	ICOLS 2025	Conference	quantum optics;nonlinear optics	2025-06-02	2025-06-07	Elba Island, Italy	2025-01-17	TBA	TBA	TBA	https://icols2025.it/	3	Laser spectroscopy with quantum optics relevance	archived	2026-05-13	year roll-over from 2025 edition	https://icols2025.it/
ecio-2025	European Conference on Integrated Optics 2025	ECIO 2025	Conference	integrated quantum photonics;photonic integrated circuits;silicon photonics	2025-06-10	2025-06-12	Cardiff, Wales, UK	TBA	TBA	TBA	TBA	https://ecio-conference.org/	5	Largest European dedicated integrated optics conference	archived	2026-05-13	year roll-over from 2025 edition	https://ecio-conference.org/
benasque-qi-2025	Quantum Information 2025	Benasque QI	Workshop	quantum communication;quantum optics	2025-06-15	2025-07-04	Benasque, Spain	TBA	n/a	TBA	n/a	https://benasque.org/	3	Quantum information including QKD and networking	archived	2026-05-13	year roll-over from 2025 edition	https://benasque.org/
damop-2025	56th APS Division of Atomic, Molecular and Optical Physics Meeting	DAMOP 2025	Conference	quantum optics;nonlinear optics	2025-06-16	2025-06-20	Portland, OR, USA	2025-01-31	2025-01-31	TBA	TBA	https://aps.org/events/2025/atomic-molecular-optical-physics	3	AMO physics flagship with quantum optics sessions	archived	2026-05-13	year roll-over from 2025 edition	https://aps.org/events/2025/atomic-molecular-optical-physics
cewqo-2025	29th Central European Workshop on Quantum Optics	CEWQO 2025	Workshop	quantum optics;single-photon sources;quantum communication	2025-06-23	2025-06-27	Vilnius, Lithuania	TBA	n/a	TBA	n/a	https://ucan.physics.utoronto.ca/conferences/cewqo29/	4	Dedicated European workshop on quantum optics and single-photon physics	archived	2026-05-13	year roll-over from 2025 edition	https://ucan.physics.utoronto.ca/conferences/cewqo29/
cleo-europe-2025	CLEO/Europe-EQEC 2025	CLEO/Europe 2025	Conference	integrated quantum photonics;quantum optics;nonlinear optics;nanophotonics	2025-06-23	2025-06-27	Munich, Germany	2025-01-27	2025-01-27	TBA	TBA	https://cleoeurope.org/	5	Flagship European photonics and quantum optics conference (biennial)	archived	2026-05-13	year roll-over from 2025 edition	https://cleoeurope.org/
icton-2025	25th International Conference on Transparent Optical Networks	ICTON 2025	Conference	photonic integrated circuits;silicon photonics;quantum communication	2025-07-06	2025-07-10	Barcelona, Spain	TBA	TBA	TBA	TBA	https://icton2025.upc.edu/	3	Transparent optical networks with PIC and quantum photonics tracks	archived	2026-05-13	year roll-over from 2025 edition	https://icton2025.upc.edu/
ieee-sum-2025	IEEE Summer Topicals Meeting Series 2025	IEEE SUM 2025	Conference	integrated quantum photonics;silicon photonics	2025-07-21	2025-07-23	Berlin, Germany	TBA	TBA	TBA	TBA	https://ieee-sum.org/	3	IEEE topical photonics sessions including PICs	archived	2026-05-13	year roll-over from 2025 edition	https://ieee-sum.org/
